lsmh_id,lifepak_id,action,notes
LSMH01150,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01155,322476,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01155,334418,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01156,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01161,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01162,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01178,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01182,257707,keep,
LSMH01184,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01186,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01187,993565,keep,
LSMH01189,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01190,716485,keep,
LSMH01195,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01197,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01203,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01213,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01214,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01215,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01234,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01240,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01241,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01244,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01260,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01269,122772,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01269,707268,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01274,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01276,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01278,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01280,718561,keep,
LSMH01281,119299,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01291,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01293,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01294,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01297,864171,keep,
LSMH01317,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01322,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01332,138774,keep,
LSMH01337,743101,keep,
LSMH01339,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01341,387332,keep,
LSMH01343,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01352,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01360,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01365,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01366,031475,keep,
LSMH01370,691100,keep,
LSMH01373,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01384,390179,keep,
LSMH01388,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01390,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01391,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01394,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01397,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01398,394657,keep,
LSMH01400,164932,keep,
LSMH01401,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01404,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01405,825987,keep,
LSMH01406,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01409,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01411,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01419,059129,keep,
LSMH01421,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01423,719426,keep,
LSMH01426,637700,keep,
LSMH01429,143493,keep,
LSMH01434,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01436,974086,keep,
LSMH01438,107278,keep,
LSMH01439,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01441,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01444,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01451,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01455,713029,keep,
LSMH01456,298239,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01457,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01460,462666,keep,
LSMH01469,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01470,144083,keep,
LSMH01478,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01483,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01485,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01489,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01490,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01494,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01496,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01497,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01499,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01512,592019,keep,
LSMH01514,727832,keep,
LSMH01519,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01522,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01523,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01528,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01536,883510,keep,
LSMH01542,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01547,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01549,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01550,698109,keep,
LSMH01552,006351,keep,
LSMH01553,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01554,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01555,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01557,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01559,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01560,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01563,459534,keep,
LSMH01571,771937,keep,
LSMH01572,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01575,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01582,490606,keep,
LSMH01588,000219,keep,
LSMH01596,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01608,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01614,291599,drop,"Opted out, per README_ttt_p2_data_collection"
LSMH01619,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01627,212074,keep,
LSMH01628,540380,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01629,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01638,405360,keep,
